"Scopevisio ERP","Scopevisio ERP"
"Scopevisio ERP connection","Scopevisio-ERP-Anbindung"
"ERP connection","ERP-Anbindung"
"Connection","Verbindung"
"Send paid invoices to Scopevisio","Bezahlte Rechnungen an Scopevisio übergeben"
"Connector URL","Connector-URL"
"The address of the Scopevisio connector service, reachable both from this Magento server and from your browser.","Adresse des Scopevisio-Connectors. Sie muss von diesem Magento-Server und von Ihrem Browser aus erreichbar sein."
"Only invoices paid after this is first switched on are sent. Earlier invoices are never booked retroactively.","Übergeben werden nur Rechnungen, die nach dem ersten Einschalten bezahlt wurden. Ältere Rechnungen werden nie nachträglich gebucht."
"Saving creates the <strong>Scopevisio</strong> integration under System &rarr; Integrations. Activate it there to connect this store: you will be asked for your Scopevisio login in a window served by the connector, never by Magento.","Beim Speichern wird die Integration <strong>Scopevisio</strong> unter System &rarr; Integrationen angelegt. Aktivieren Sie sie dort, um diesen Shop zu verbinden: Ihre Scopevisio-Zugangsdaten geben Sie in einem Fenster des Connectors ein, nie in Magento."
"The Scopevisio integration is up to date.","Die Scopevisio-Integration ist aktuell."
"The Scopevisio integration was prepared. Activate it under System > Integrations to connect this store.","Die Scopevisio-Integration wurde vorbereitet. Aktivieren Sie sie unter System > Integrationen, um diesen Shop zu verbinden."
"The Scopevisio integration could not be prepared: %1","Die Scopevisio-Integration konnte nicht vorbereitet werden: %1"
"Activate the Scopevisio integration under System > Integrations first.","Aktivieren Sie zuerst die Scopevisio-Integration unter System > Integrationen."
"%1 failed event(s) were put back in the queue.","%1 fehlgeschlagene Ereignisse wurden erneut eingereiht."
"Nothing was sent: %1","Nichts gesendet: %1"
"%1 event(s) delivered, %2 failed and will be retried.","%1 Ereignisse zugestellt, %2 fehlgeschlagen – sie werden erneut versucht."
"%1 event(s) delivered.","%1 Ereignisse zugestellt."
"Switched off.","Ausgeschaltet."
"Configure","Konfigurieren"
"The integration has not been created yet. Save the configuration once.","Die Integration wurde noch nicht angelegt. Speichern Sie die Konfiguration einmal."
"Not activated. Events are kept until you activate the integration.","Nicht aktiviert. Ereignisse bleiben erhalten, bis Sie die Integration aktivieren."
"System > Integrations","System > Integrationen"
"Connected","Verbunden"
"Invoices paid since %1 (UTC)","Rechnungen bezahlt seit %1 (UTC)"
"Waiting","Wartend"
"Delivered","Zugestellt"
"Failed","Fehlgeschlagen"
"Open review queue and CSV export","Prüfliste und CSV-Export öffnen"
"Send now","Jetzt senden"
"Retry failed events","Fehlgeschlagene erneut senden"
"Magento only hands events over. Whether an invoice was booked, held for review or exported is shown in the connector.","Magento übergibt nur die Ereignisse. Ob eine Rechnung gebucht, zur Prüfung zurückgehalten oder exportiert wurde, zeigt der Connector."
"Event","Ereignis"
"Entity","Beleg-ID"
"Order","Bestellung"
"Status","Status"
"Attempts","Versuche"
"Created (UTC)","Erstellt (UTC)"
"Last error","Letzter Fehler"
"No events yet.","Noch keine Ereignisse."
